slug,name,long
iu-indy,IU Indy,Indiana University Indianapolis
jackson-st,Jackson St.,Jackson State University
jacksonville,Jacksonville,Jacksonville University
jacksonville-st,Jacksonville St.,Jacksonville State University
james-madison,James Madison,James Madison University
jessup,Jessup University,Jessup University
john-carroll,John Carroll,John Carroll University
john-jay,John Jay,John Jay College of Criminal Justice
johns-hopkins,Johns Hopkins,Johns Hopkins University
johnson-c-smith,Johnson C. Smith,Johnson C. Smith University
johnson-st,Johnson St.,Johnson State College
johnson-wales-ri,Johnson & Wales (RI),Johnson and Wales University
juniata,Juniata,Juniata College
jwu-denver,Johnson & Wales (Denver),Johnson & Wales University (Denver)
kalamazoo,Kalamazoo,Kalamazoo College
kansas,Kansas,University of Kansas
kansas-st,Kansas St.,Kansas State University
kean,Kean,Kean University
keene-st,Keene St.,Keene State College
kennesaw-st,Kennesaw St.,Kennesaw State University
kent-st,Kent St.,Kent State University
kentucky,Kentucky,University of Kentucky
kentucky-st,Kentucky St.,Kentucky State University
kenyon,Kenyon,Kenyon College
keuka,Keuka,Keuka College
keystone,Keystone,Keystone College
king-tn,King (TN),King University
kings-pa,King's (PA),King's College
knox,Knox,Knox College
kutztown,Kutztown,Kutztown University
ky-wesleyan,Ky. Wesleyan,Kentucky Wesleyan College
la-lafayette,La.-Lafayette,University of Louisiana at Lafayette
la-monroe,La.-Monroe,University of Louisiana at Monroe
la-roche,La Roche,La Roche College
la-salle,La Salle,La Salle University
la-sierra,La Sierra,La Sierra University
la-verne,La Verne,University of La Verne
lafayette,Lafayette,Lafayette College
lagrange,LaGrange,LaGrange College
lake-erie,Lake Erie,Lake Erie College
lake-forest,Lake Forest,Lake Forest College
lake-superior-st,Lake Superior St.,Lake Superior State University
lakeland,Lakeland,Lakeland College
lamar,Lamar,Lamar University
lambuth,Lambuth,Lambuth University
lancaster-bible,Lancaster Bible,Lancaster Bible College
lander,Lander,Lander University
lane,Lane,Lane College
langston,Langston,Langston University
lasell,Lasell,Lasell University
lawrence,Lawrence,Lawrence University
le-moyne,Le Moyne,Le Moyne College
lebanon-valley,Lebanon Valley,Lebanon Valley College
lee,Lee,Lee University
lees-mcrae,Lees-McRae,Lees-McRae College
lehigh,Lehigh,Lehigh University
lehman,Lehman,Lehman College
lemoyne-owen,LeMoyne-Owen,LeMoyne-Owen College
lenoir-rhyne,Lenoir-Rhyne,Lenoir-Rhyne University
lesley,Lesley,Lesley University
letourneau,LeTourneau,LeTourneau University
lewis,Lewis,Lewis University
lewis-clark,Lewis & Clark,Lewis & Clark College
